playlist_genre,danceability,energy,valence,liveness,speechiness,acousticness,track_popularity,track_name,track_artist
hip-hop,0.804,0.946,0.745,0.359,0.352,0.002,70,Mr. Glock,Key Glock
hip-hop,0.819,0.626,0.415,0.167,0.202,0.00748,78,Runnin,"21 Savage, Metro Boomin"
hip-hop,0.696,0.592,0.232,0.127,0.319,0.152,72,Armed & Dangerous,King Von
hip-hop,0.92,0.547,0.606,0.0998,0.272,0.0241,70,Coffin,Lil Yachty
hip-hop,0.793,0.395,0.128,0.109,0.385,0.277,69,Ready (feat. Gunna),"Lil Baby, Gunna"
hip-hop,0.867,0.774,0.549,0.157,0.315,0.11,69,Russian Cream,Key Glock
hip-hop,0.578,0.449,0.1,0.119,0.286,0.0618,73,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby"
hip-hop,0.529,0.673,0.366,0.093,0.175,0.000307,80,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage"
hip-hop,0.729,0.73,0.41,0.118,0.261,0.00165,75,"Crazy Story, Pt. 3",King Von
hip-hop,0.964,0.487,0.108,0.115,0.421,0.00127,77,Pure Cocaine,Lil Baby
hip-hop,0.841,0.732,0.576,0.136,0.19,0.0115,73,Ambition For Cash,Key Glock
hip-hop,0.711,0.611,0.144,0.23,0.33,0.00588,79,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar"
hip-hop,0.847,0.733,0.202,0.151,0.16,0.00574,80,Glock In My Lap,"21 Savage, Metro Boomin"
hip-hop,0.846,0.48,0.419,0.0989,0.359,0.269,68,3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk, Lil Baby, Polo G"
hip-hop,0.88,0.575,0.671,0.109,0.163,0.415,71,Run It Up (feat. Offset & Moneybagg Yo),"Lil Tjay, Offset, Moneybagg Yo"
hip-hop,0.477,0.727,0.227,0.108,0.286,0.000866,70,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk"
hip-hop,0.853,0.495,0.0774,0.0844,0.14,0.0917,68,Sticky,Drake
hip-hop,0.833,0.434,0.281,0.165,0.431,0.0102,81,Mask Off,Future
hip-hop,0.856,0.564,0.483,0.134,0.392,0.00327,70,On Me,Lil Baby
hip-hop,0.79,0.67,0.408,0.119,0.105,0.377,75,N95,Kendrick Lamar
hip-hop,0.825,0.733,0.62,0.112,0.0969,0.349,75,Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug"
hip-hop,0.574,0.567,0.526,0.258,0.465,0.164,78,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate"
hip-hop,0.833,0.434,0.281,0.165,0.431,0.0102,81,Mask Off,Future
hip-hop,0.583,0.665,0.463,0.112,0.18,0.314,75,Imagina esse Cenário,"Matuê, Veigh"
hip-hop,0.963,0.346,0.562,0.108,0.53,0.0355,75,Yes Indeed,"Lil Baby, Drake"
hip-hop,0.797,0.577,0.17,0.301,0.195,0.0174,72,Wake Up & Bake Up,"Duki, Wiz Khalifa, Arcángel"
hip-hop,0.88,0.59,0.723,0.184,0.204,0.08,68,M4,"Teto, Matuê"
hip-hop,0.807,0.631,0.126,0.117,0.111,0.407,70,Diablita (feat. Anuel AA & Baby Rasta),"Trap Capos, Noriel, Anuel AA, Baby Rasta"
hip-hop,0.772,0.413,0.211,0.111,0.0891,0.0361,77,Love Sosa,Chief Keef
hip-hop,0.513,0.822,0.768,0.11,0.383,0.14,69,Tessera sanitaria (feat. Nerissima Serpe & Papa V),"Night Skinny, Nerissima Serpe, Papa V"
hip-hop,0.926,0.666,0.168,0.123,0.244,0.0611,70,Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert"
hip-hop,0.713,0.575,0.189,0.169,0.0501,0.00669,72,That Go! (feat. T-Shyne),"Young Stoner Life, Young Thug, Meek Mill, T-Shyne"
hip-hop,0.808,0.586,0.568,0.14,0.169,0.641,68,Me Acostumbre (feat. Bad Bunny),"Arcángel, Bad Bunny"
hip-hop,0.814,0.676,0.312,0.119,0.231,0.00709,83,Like That,"Future, Metro Boomin, Kendrick Lamar"
hip-hop,0.616,0.928,0.23,0.156,0.043,0.0168,70,Castlevania,Matuê
hip-hop,0.926,0.542,0.564,0.0877,0.293,0.135,70,We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg"
hip-hop,0.851,0.637,0.616,0.227,0.104,0.225,73,Brindis,"Duki, Headie One"
